Location,Section,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Date,Start Time,End Time,Observer,Recorder,Species,Count,"Estimated Total
Length (mm)",Distance of fish above bottom (cm),Velocity at fish (m/s),Total Depth (cm),Vel (0.6) m/s,Vel (0.2) m/s,Vel (0.8) m/s,Dominant Substrate,Distance from cover (m),Cover Type,GCU,Activity,Comments
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,3,90,12,0.34,58,0.44,NA,NA,SA,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,5,80,12,0.34,58,0.44,NA,NA,SA,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,5,70,12,0.34,58,0.44,NA,NA,SA,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,2,100,0,0.03,74,0.62,NA,NA,GV,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,3,80,0,0.03,74,0.62,NA,NA,GV,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,5,70,0,0.03,74,0.62,NA,NA,GV,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,2,80,12,0.23,68,0.53,NA,NA,SA,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,5,70,12,0.23,68,0.53,NA,NA,SA,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,3,100,0,0.2,44,0.74,NA,NA,GV,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,3,70,0,0.2,44,0.74,NA,NA,GV,0,WD,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,2,90,12,0.28,67,0.56,NA,NA,SA,0.1,CART,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,3,80,12,0.28,67,0.56,NA,NA,SA,0.1,CART,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,3,60,0,0,67,0.56,NA,NA,SA,0.1,CART,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,3,70,0,0,67,0.56,NA,NA,SA,0.1,CART,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,4,70,0,0.29,49,0.84,NA,NA,GV,0.3,OV,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Arroyo Chub,11,70,5,0.43,49,0.84,NA,NA,GV,0.3,OV,RUN,FEED,
RIX to Crossover Channel,3,34.03662,-117.35625,34.03776,-117.35596,9/21/2016,1040,NV,Jason May,Larry Brown,Santa Ana Sucker,5,70,0,0.49,36,0.51,NA,NA,GV,2.5,OV,RUN,FEED,
