"","Scenario","Node","Cladophora_Adult","SAS_Adult","SAS_fry","SAS_juvenile","Steelhead_Migration","Steelhead_Prolonged","Steelhead_Smolts","Typha_Adult","Typha_Seedling","Willow_Germination"
"333",167,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"334",167,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"335",168,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"336",168,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"337",169,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"338",169,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"339",170,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"340",170,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"341",171,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"342",171,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"343",172,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"344",172,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"345",173,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"346",173,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"347",174,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"348",174,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"349",175,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"350",175,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"351",176,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"352",176,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"353",177,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"354",177,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"355",178,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"356",178,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"357",179,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"358",179,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"359",180,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"360",180,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"361",181,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"362",181,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"363",182,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"364",182,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"365",183,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"366",183,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"367",184,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"368",184,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"369",185,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"370",185,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"371",186,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"372",186,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"373",187,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"374",187,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"375",188,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"376",188,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"377",189,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"378",189,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"379",190,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"380",190,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"381",191,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"382",191,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"383",192,"GLEN","Low","Partial","Partial","Partial","Partial","Partial","Partial","Partial","Partial","Low"
"384",192,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"385",193,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"386",193,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"387",194,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"388",194,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"389",195,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"390",195,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"391",196,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"392",196,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"393",197,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"394",197,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"395",198,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"396",198,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"397",199,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"398",199,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"399",200,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"400",200,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"401",201,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"402",201,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"403",202,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"404",202,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"405",203,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"406",203,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"407",204,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"408",204,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"409",205,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"410",205,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"411",206,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"412",206,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"413",207,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"414",207,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"415",208,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"416",208,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"417",209,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"418",209,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"419",210,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"420",210,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"421",211,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"422",211,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"423",212,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"424",212,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"425",213,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"426",213,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"427",214,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"428",214,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"429",215,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"430",215,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"431",216,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"432",216,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"433",217,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"434",217,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"435",218,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"436",218,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"437",219,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"438",219,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"439",220,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"440",220,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"441",221,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"442",221,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"443",222,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"444",222,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"445",223,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"446",223,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"447",224,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"448",224,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"449",225,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"450",225,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"451",226,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"452",226,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"453",227,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"454",227,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"455",228,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"456",228,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"457",229,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"458",229,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"459",230,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"460",230,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"461",231,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"462",231,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"463",232,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"464",232,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"465",233,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"466",233,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"467",234,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"468",234,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"469",235,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"470",235,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"471",236,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"472",236,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"473",237,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"474",237,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"475",238,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"476",238,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"477",239,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"478",239,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"479",240,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"480",240,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"481",241,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"482",241,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"483",242,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"484",242,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"485",243,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"486",243,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"487",244,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"488",244,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"489",245,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"490",245,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"491",246,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"492",246,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"493",247,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"494",247,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"495",248,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"496",248,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"497",249,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"498",249,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"499",250,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"500",250,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"501",251,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"502",251,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"503",252,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"504",252,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"505",253,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"506",253,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"507",254,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"508",254,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"509",255,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"510",255,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"511",256,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"512",256,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"513",257,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"514",257,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"515",258,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"516",258,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"517",259,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"518",259,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"519",260,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"520",260,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"521",261,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"522",261,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"523",262,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"524",262,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"525",263,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"526",263,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"527",264,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"528",264,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"529",265,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"530",265,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"531",266,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"532",266,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"533",267,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"534",267,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"535",268,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"536",268,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"537",269,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"538",269,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"539",270,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"540",270,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"541",271,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"542",271,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"543",272,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"544",272,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"545",273,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"546",273,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"547",274,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"548",274,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"549",275,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"550",275,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"551",276,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"552",276,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"553",277,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"554",277,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"555",278,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"556",278,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"557",279,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"558",279,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"559",280,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"560",280,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"561",281,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"562",281,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"563",282,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"564",282,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"565",283,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"566",283,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"567",284,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"568",284,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"569",285,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"570",285,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"571",286,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"572",286,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"573",287,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"574",287,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"575",288,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"576",288,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"577",289,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"578",289,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"579",290,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"580",290,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"581",291,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"582",291,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"583",292,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"584",292,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"585",293,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"586",293,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"587",294,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"588",294,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"589",295,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"590",295,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"591",296,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"592",296,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"593",297,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"594",297,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"595",298,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"596",298,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"597",299,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"598",299,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"599",300,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"600",300,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"601",301,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"602",301,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"603",302,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"604",302,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"605",303,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"606",303,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"607",304,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"608",304,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"609",305,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"610",305,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"611",306,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"612",306,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"613",307,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"614",307,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"615",308,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"616",308,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"617",309,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"618",309,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"619",310,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"620",310,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"621",311,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"622",311,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"623",312,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"624",312,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"625",313,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"626",313,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"627",314,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"628",314,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"629",315,"GLEN","Low","Partial","Low","Low","Partial","Partial","Partial","Partial","Partial","Low"
"630",315,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"631",316,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"632",316,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"633",317,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"634",317,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"635",318,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"636",318,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"637",319,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"638",319,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"639",320,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"640",320,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"641",321,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"642",321,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"643",322,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"644",322,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"645",323,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"646",323,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"647",324,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"648",324,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"649",325,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"650",325,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"651",326,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"652",326,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"653",327,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"654",327,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"655",328,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"656",328,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"657",329,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"658",329,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"659",330,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"660",330,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"661",331,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"662",331,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"663",332,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"664",332,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"665",333,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
